system:index,Area,CC,CR,CR3,CntryNm,GW,GW3,IR,IR3,Region,UR,aq_id,code,countrs,name,.geo
00000000000000000334,2.4063622962034354E8,MEX,0.014124527908907425,0.0,Mexico,0.003198128454558536,0.0,0.005466549747469204,0.0,AMER,2.5232427248774503,337,N048,Mexico; United States of America,Rio Agua Prieta Aquifer / Douglas Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000335,3.3084978033995104E8,USA,0.024412830773514953,0.0,United States,0.0,0.0,0.0,0.0,AMER,1.479069650122549,337,N048,Mexico; United States of America,Rio Agua Prieta Aquifer / Douglas Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000336,2.0691585673039216E8,MEX,0.08328186608636269,0.0,Mexico,0.044539083088298445,0.0,0.045844010049433837,0.0,AMER,0.0,331,N053,Mexico; United States of America,Janos Aquifer / Playas Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000337,2.0466064667377454E8,USA,9.29208583863948E-4,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,331,N053,Mexico; United States of America,Janos Aquifer / Playas Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000338,6.794634197705867E8,MEX,0.36247141668536914,0.3324838651310062,Mexico,0.23935555889307858,0.23241156504868782,0.2529622541087057,0.24562350913162878,AMER,0.0,334,N055,Mexico; United States of America,Ascension Aquifer / Hachita Moscos Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000339,6.328014546002452E8,USA,0.023072893305195036,0.01545817972501881,United States,0.0029917340009033497,0.0019022300792831844,0.003161805628581364,0.0020103664863648585,AMER,0.0,334,N055,Mexico; United States of America,Ascension Aquifer / Hachita Moscos Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033a,4.681425710808825E7,MEX,0.0,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,332,N057,Mexico; United States of America,Potrillo Mountains,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033b,2.2335070735661757E8,USA,0.0,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,332,N057,Mexico; United States of America,Potrillo Mountains,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033c,2.335028317161765E8,MEX,0.005619747104633573,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.0,326,N059,Mexico; United States of America,Red Light Draw Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033d,2.6397105183823538E8,USA,0.0011784026384921483,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,326,N059,Mexico; United States of America,Red Light Draw Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
