"aq_id","CountryName","type","area_km2","lat_c","lon_c","CSI","RDS_mainDist","GWIrrig","Irrig","IrrigNeed","IrNeed0","Overdraft","OverIR6","G_Irrig","G_IrrigGW","G_IrrigNeed","G_CSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder","IGRAC_Code","CountryCode","Countries","AquiferName","Region"
217,"Honduras","treat",13.210074467716,14.7854675470741,-89.184382379215,5296.6069480333,0,0,0,0,0,0,0,NA,NA,NA,1,NA,NA,FALSE,"C013","HND","Guatemala; Honduras","Chiquimula - Copán Ruinas","AMER"
357,"Honduras","treat",65.1218221072435,14.4412708044065,-89.2033322569273,7781.88212684177,0,0,0,0.00264295357582013,0.00264295357582013,0,0,NA,NA,0.164425987731639,0.813511843759295,0.164425987731639,NA,FALSE,"C014","HND","El Salvador; Honduras","Ocotepeque-Citala","AMER"
357,"El Salvador","treat",10.7311879034418,14.3584353266996,-89.1978971684369,7778,0,0,0,0.000324974033584748,0.000324974033584748,0,0,NA,NA,-0.604214579522978,0.582862601597173,-0.604214579522978,NA,FALSE,"C014","SLV","El Salvador; Honduras","Ocotepeque-Citala","AMER"
294,"Guatemala","treat",2152.3428701216,14.4185073171666,-89.7271640154367,9575.9576489068,0,1.43912319923366e-05,0.000541380620753621,0.010614940669262,0.010614940669262,0,0,-0.0550386630798787,0.256532291421918,4.78222786879368e-05,-0.289447709112166,4.78222786879368e-05,-0.118823949678778,FALSE,"C015","GTM","El Salvador; Guatemala","Ostua-Metapán","AMER"
294,"El Salvador","treat",787.643828254254,14.2507151640149,-89.5110758875465,9399.9252883805,0,0,0,0.00644722082266487,0.00644722082266487,0,0,0.330874772644219,NA,-0.114172664297732,0.484375173879923,-0.114172664297732,-0.646454018091021,FALSE,"C015","SLV","El Salvador; Guatemala","Ostua-Metapán","AMER"
293,"Guatemala","treat",1592.24567021548,14.0960433248681,-89.9925324974501,9824.02382978927,0,0,0,0.00867355713134623,0.00931508210471265,0,0,-0.2114165194485,NA,-0.0782182617545137,0.635246552808782,-0.0782182617545137,-0.2114165194485,FALSE,"C016","GTM","El Salvador; Guatemala","Río Paz","AMER"
293,"El Salvador","treat",1048.82124159105,13.9498263928854,-89.7933611644181,9747.79464699577,0,0.000781300021653808,0.000781300021653808,0.0327485468427189,0.0358795402386385,0,0,-0.214294028216582,-0.22606085760693,-0.324269490769225,-0.403253594126844,-0.324269490769225,-0.207622013120686,FALSE,"C016","SLV","El Salvador; Guatemala","Río Paz","AMER"
215,"Honduras","treat",891.675518513837,13.0951108088342,-87.141545712536,9231.97701970106,0.122355173915347,4.76489855616095e-05,0.00476139958532888,0.0419232483947658,0.0561710403044026,0.00351820607391071,0,0.629189194941998,-0.643002363063228,-0.125457108641936,0.279658973592379,-0.125457108641936,0.582913397680742,FALSE,"C017","HND","Honduras; Nicaragua","Estero Real-Río Negro","AMER"
215,"Nicaragua","treat",2916.79138158042,13.0268454055853,-86.7859665573746,9269.06867560263,2.3732289226301,0.000370362282126608,0.000370362282126608,0.00903836323465842,0.0223850616488764,0,0,-0.000662073745594682,-0.000662073745594682,-0.345781640408563,0.316646089848646,-0.345781640408563,-0.000662073745594682,FALSE,"C017","NIC","Honduras; Nicaragua","Estero Real-Río Negro","AMER"
219,"Costa Rica","treat",136.847122220683,9.55609031030078,-82.6617394628741,9706.7652404606,0,0,0,0,0.000144100561602275,0,0,NA,NA,NA,0.966099599918972,NA,NA,FALSE,"C018","CRI","Costa Rica; Panama","Sixaola / Salinas Aquifer","AMER"
