system:index,CntrName,GW,HYBAS_ID,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,area_km2,crp,dummy,lat,lev,lon,.geo
2_0000000000000000175a,Venezuela,0.0,6060002270,5.577642396624544E-4,0.006381930656360991,4.818868863196636E-4,0.0,0.0,0.0,0.0,5.577642396624544E-4,0.0,0.0,4956.09332785315,0.006381930656360991,,9.47770498619264,6,-70.52699942987529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000175b,Venezuela,0.0,6060001980,2.8550949903337405E-6,6.11026228920974E-4,5.953434137165668E-5,1.2678684101651104E-6,0.0,0.0,0.0,2.8550949903337405E-6,0.0,0.0,9834.77467752197,6.11026228920974E-4,,8.83219352830286,6,-71.24909374176413,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000175c,Venezuela,0.0,6060001970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4868.19776096733,0.0,,8.626882356772663,6,-71.95919320322649,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001762,Venezuela,0.0,6060041010,0.0038005520045061893,0.06803264942912357,0.02942043389528843,0.0,0.0,0.0,0.0,0.0038005520045061893,3.2728059373712874E-4,0.0,2654.78354420458,0.06803264942912357,,10.19198591228059,6,-67.68848698684869,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000178f,Venezuela,0.0,6060095580,3.0179421995572038E-5,0.0012248575925555873,0.0,0.0,0.0,0.0,0.0,3.0179421995572038E-5,0.0,0.0,11937.7568572576,0.0012248575925555873,,7.49441540358335,6,-62.04605821590052,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001790,Venezuela,0.0,6060097380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3414.1946161802,0.0,,6.336979242694962,6,-64.5456456722823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001792,Venezuela,0.0,6069000490,0.0,9.06419275918055E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3847.23590462426,9.06419275918055E-7,,7.374881981802109,6,-62.859192374546105,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001795,Venezuela,0.0,6060097370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4291.7565728061,0.0,,6.151599920219347,6,-65.00792307960765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001796,Venezuela,0.0,6060129500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4717.80547695779,0.0,,4.626901589570983,6,-65.78601147676672,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001797,Venezuela,0.0,6060150580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6178.07516937434,0.0,,3.737747027823651,6,-65.70569250523535,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001798,Venezuela,0.0,6060150590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4036.64934167731,0.0,,3.124824657869132,6,-65.5971827746732,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001799,Venezuela,0.0,6060132160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071.63778778426,0.0,,4.25607581384874,6,-65.96350651452903,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000179b,Venezuela,0.0,6060132240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.56068090289,0.0,,4.015405000218377,6,-66.03922987422182,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000179c,Venezuela,0.0,6060117780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8095.81031869885,0.0,,5.602267039546184,6,-65.85002680374993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000179d,Venezuela,0.0,6060129490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2848.35946547492,0.0,,4.741581084157016,6,-66.30602918124102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000179e,Venezuela,0.0,6060136480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10699.8942312347,0.0,,3.503933184081494,6,-66.51249256448291,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000179f,Venezuela,0.0,6060136450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784.39142821616,0.0,,4.317605630777925,6,-66.69676608292966,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000017a0,Venezuela,0.0,6060118700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183.12807384176,0.0,,5.121664496107405,6,-66.71945349549259,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001105,Vietnam,0.0,4060015000,0.1784590271260675,0.3159865744201557,0.29375190742996216,0.0836738839061283,0.0,0.0,0.0,0.1784590271260675,0.0,0.0,3997.1934025064,0.3159865744201557,,21.164171245051794,6,105.76971466188343,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001107,Vietnam,0.0,4060015010,0.19103803214183993,0.37719053760524274,0.3651677372199229,0.19314456379413406,0.0,0.0,0.0,0.19103803214183993,0.0,0.0,7155.55491886599,0.37719053760524274,,20.49921667210099,6,105.83555448517612,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000110d,Vietnam,0.0,4060015110,0.09133699583767198,0.3135428774175826,0.2740630238314966,0.12107520696047516,0.0,0.0,0.0,0.09133699583767198,0.0,0.0,3915.29108481211,0.3135428774175826,,19.335839663708033,6,105.61480035436041,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001152,Vietnam,0.0,4060015270,0.060146158260440036,0.24706131518464566,0.1897672067653031,0.06019455493794006,0.0,0.0,0.0,0.060146158260440036,0.0,0.0,2574.176393482,0.24706131518464566,,18.215910396087587,6,106.05698027064793,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001153,Vietnam,0.0,4060015790,0.08502385498182741,0.19034867871548625,0.09493361417229788,0.008339726830266734,0.0,0.0,0.0,0.08502385498182741,0.0,0.0,2460.95100441758,0.19034867871548625,,15.445312740005688,6,108.54917707781199,"{""type"":""MultiPoint"",""coordinates"":[]}"
