system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,.geo
2_00000000000000000dfe,Russia,2040315940,131300.816806108,,54.478547931500835,4,37.622669118762666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e00,Russia,2049000710,2266.95412625759,,47.96905706163092,4,42.787750805160655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e17,Russia,2040439790,376.797937532188,,49.58867910114485,4,42.49889750236321,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e53,Russia,2040292580,13982.7764836825,,56.38742408805191,4,44.55957070904126,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000114a,Russia,4040000010,105734.596679303,,54.26063951654312,4,134.62018234082973,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001284,Russia,4049000750,2212.58204636845,,54.442319359357334,4,127.98523588159237,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001514,Russia,2040043720,314769.698532673,,65.4770457498351,4,56.38122137848512,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000144f,Saudi Arabia,2040086170,55830.8633675893,,22.536098054295422,4,41.33391427206853,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001a8,Serbia,2040555600,663.920471294534,,45.056805902638516,4,20.303942442613177,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000009be,Somalia,1041139500,23854.3161543886,,1.398155545168531,4,43.267870033659506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000009bf,Somalia,1040007270,30832.2069566443,,5.583567546421992,4,47.99976603277472,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b3b,Somalia,1040006850,28505.1729705016,,10.448636198134391,4,49.49290506151989,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b3c,Somalia,1040007060,6490.16745191541,,9.117258638037079,4,49.509432235040336,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b3d,Somalia,1040006860,7009.06827873651,,9.782439915119308,4,50.516883417997995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b3e,Somalia,1040007070,7767.27804579306,,8.590357759395399,4,49.89148365883118,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b3a,Somaliland,1040007000,25971.3522859856,,9.857038771675374,4,48.726601847133956,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b67,Somaliland,1040007260,64429.0181972429,,9.112065320064696,4,47.41378626132547,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006f8,South Africa,1040014490,34786.6311636376,,-32.73289975867203,4,23.63262203652314,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006f9,South Africa,1041626210,71140.7077652563,,-29.709505229032047,4,22.830128059796913,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006fa,South Africa,1041626200,84979.3568660047,,-30.694775761443562,4,21.165159500713745,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006fb,South Africa,1040014920,45062.4244158854,,-33.19879485580943,4,21.735286814694895,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000778,South Africa,1040014930,15659.4629691674,,-33.93837145916486,4,20.167827436917772,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000816,South Africa,1041624330,2292.3718378585,,-28.790668298421473,4,20.29048046412406,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ba3,Spain,2040018360,57056.9869575475,,37.740913582952594,4,-4.441966408132981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000bcd,Spain,2040018240,5871.53642076537,,36.59973799210341,4,-5.768937371660091,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000bce,Spain,2040018370,5063.76557240752,,37.50211522789459,4,-6.842083230812476,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000478,Sweden,2040031500,111567.636381912,,58.032384810814214,4,15.320794150147282,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000004db,Sweden,2049000290,5537.14291083591,,58.90913990695916,4,13.297597955980358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000901,Tanzania,1040040440,62738.2008150001,,-4.390491484233083,4,34.16012460758348,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000278,Turkey,2040003440,3165.27486440317,,41.03682180572042,4,29.71322912230048,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000dad,Turkey,2040004140,2949.60502754148,,41.22632937745405,4,36.20918941431929,"{""type"":""MultiPoint"",""coordinates"":[]}"
