system:index,CC,CS_max,CntryNm,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,Region,STS,aq_id,area_km2,code,constant,countrs,crpkHaKm2,dummy,lat_c,lon_c,name,pet_mm,prec_mm,urbkHaKm2,.geo
2_0000000000000000030c,CAN,9602.693298210399,Canada,0.0,0.0,52.898507518320685,44.30216114983181,AMER,1.045500270027837,67,4419.4148073991,N004,1.0,Canada; United States of America,0.25327431745268003,,49.14797443643521,-106.16949976739743,Eastend-Ravenscrag (Poplar),757.7306814028948,33.106746738050276,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030d,USA,8013.022812271317,United States,0.0,0.0,79.90988359849042,44.479133474263335,AMER,1.4728981367473344,67,18701.37047069044,N004,1.0,Canada; United States of America,0.14208776386320207,,48.44386509158021,-106.662535328816,Eastend-Ravenscrag (Poplar),824.7857126392358,28.481815976631307,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030e,CAN,9062.944411690358,Canada,0.0,0.0,10.304126652422292,104.37054852786248,AMER,1.4412683143074518,68,7914.727573570486,N005,1.0,Canada; United States of America,0.4419297484155445,,49.55336994777897,-103.62540088362013,Estevan Valley Aquifer System,653.6161449985349,37.761456008122636,1.5443582268874668E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030f,USA,8685.882225231993,United States,0.0,0.0,29.825307774955284,56.21264428227797,AMER,1.4881723907901911,68,1273.4954612735696,N005,1.0,Canada; United States of America,0.29658722659788866,,48.83205693158947,-102.75244522859636,Estevan Valley Aquifer System,662.7578390844106,38.579844800264176,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000310,CAN,8251.782068797318,Canada,0.0468963467265733,21.31167244963484,0.7437144082488095,328.7308280791211,AMER,1.8636820072520528,71,1449.6236252328013,N007,1.0,Canada; United States of America,0.3684396102554683,,45.125152850645804,-73.8843135335834,Ch�teauguay,601.9189399903282,88.8507106930174,0.0011917847523160467,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000311,USA,5764.452868072877,United States,0.0,0.0,3.1425560385462976,179.9392489537983,AMER,3.4350443314875183,71,1049.159437947665,N007,1.0,Canada; United States of America,0.11302353347126054,,44.87467876170808,-74.03787725036827,Ch�teauguay,562.5836375749191,96.77975947442111,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000312,MEX,6001.4706278446265,Mexico,4.3643618679468796E-4,110.9313797618305,0.0,8245.213504582582,AMER,3.5902612382318098,329,264.5869643119433,N008,1.0,Mexico; United States of America,0.0022931937329651606,,32.497579038602126,-116.94138436131531,Tijuana - San Diego Aquifer,1161.8488325645703,20.25004244599599,0.07661421346429027,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000313,USA,9896.885032442211,United States,0.0,405.6435034649167,0.0,9421.76747539246,AMER,1.1415944502479143,329,448.3252604468592,N008,1.0,Mexico; United States of America,0.01439566742501288,,32.643676243101844,-117.0549374604048,Tijuana - San Diego Aquifer,1132.7539233643188,20.411464066861296,0.06388506721529369,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000314,MEX,7048.89708814359,Mexico,0.02999293775132237,23.245290633152216,0.23669655535340708,950.4827647502509,AMER,3.179772662852092,340,696.1750028446608,N012,1.0,Mexico; United States of America,0.007000920094886544,,31.245840595066436,-110.71113671629688,Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin,1420.1781505366837,44.486382897041985,0.006376672831811584,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000315,USA,5871.141820338012,United States,0.006226734015515165,61.77445779338207,8.625051787345416,1211.7445351231786,AMER,2.2850039735164493,340,6751.302128226241,N012,1.0,Mexico; United States of America,0.002973845215693897,,31.89977387576962,-110.83897795945593,Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin,1491.1337889662157,35.3119726348892,0.008780692345629499,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000316,MEX,6205.604543991209,Mexico,0.0015470555270719762,0.0,0.0,361.2425687679581,AMER,1.5293880933360344,339,1122.377183902588,N013,1.0,Mexico; United States of America,0.0033497022365995763,,31.158045099878755,-110.1479291912164,Rio San Pedro Aquifer / Upper San Pedro Basin,1448.2796904904285,41.685280607166426,0.0015621544324519437,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000317,USA,3579.2946750938017,United States,0.005165050558080097,24.899672901089108,7.592103938707709,262.36211547015944,AMER,1.9368629155342891,339,4232.061901611171,N013,1.0,Mexico; United States of America,0.0032092186164519552,,31.819621109062137,-110.20905544859886,Rio San Pedro Aquifer / Upper San Pedro Basin,1488.8299434205983,32.41117248333826,9.686257732889001E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000318,MEX,377.7778466761492,Mexico,0.0015529815862336642,21.038378299670665,5.3742334927549225,149.13154833648287,AMER,2.2262121145851275,333,6034.498865874693,N014,1.0,Mexico; United States of America,4.602421587401004E-4,,31.39470529330157,-106.82564522455257,Conejos Medanos Aquifer / Mesilla Bolson,1513.8800965843357,17.96388907609457,1.728379035191506E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000319,USA,4686.552019714156,United States,0.0,77.01204519972003,22.359197820897638,943.918689079469,AMER,2.1831860723288674,333,2988.5419017466584,N014,1.0,Mexico; United States of America,0.08255898024638325,,32.074306210286736,-106.81510229856025,Conejos Medanos Aquifer / Mesilla Bolson,1518.497339910433,18.165782070584125,0.006810659321513448,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000031a,MEX,1964.1527978131396,Mexico,0.03228682990268342,17.969368783558153,0.9956673605034625,2262.5435778296164,AMER,3.5989990561898497,327,2120.04951108905,N015,1.0,Mexico; United States of America,0.06660190374096317,,31.244418893988552,-105.95319796122885,Valle de Juarez Bolson / Hueco-Tularosa Bolson,1540.4616150153745,16.734672793828153,0.012275020262769467,"{""type"":""MultiPoint"",""coordinates"":[]}"
