"code","name","CC_1","CC_2","class","classF"
"AS020","Sulak Aquifer","GEO","RUS","IU0","IU0"
"AS021","Nakhichevan / Larijan and Djebrail Aquifer","AZE","IRN","DA","DA"
"AS022","Herher, Malishkin and Jermuk Aquifers","ARM","AZE","IU0","IU0"
"AS023","Vorotan-Akora Aquifer","ARM","AZE","IU1","BL"
"AS025","Iori / Gabirry Aquifer","AZE","RUS","IU0","IU0"
"AS026","Lenkoran/Astara","AZE","IRN","DA","DA"
"AS027","Samur Aquifer","AZE","RUS","BL","DA"
"AS031","South-Pred-Ural Aquifer","KAZ","RUS","UB","DA"
"AS035","Amu Darya (2)","KAZ","TKM","IU1","IU1"
"AS035","Amu Darya (2)","KAZ","UZB","IU1","IU1"
"AS035","Amu Darya (2)","TKM","UZB","IU0","IU0"
"AS036","Syr Darya","KAZ","UZB","IU1","IU1"
"AS037","Birata-Urgench","TKM","UZB","DA","DA"
"AS040","Sherabad","TKM","UZB","IU1","IU1"
"AS041","Amu Darya (1)","AFG","UZB","UB","BL"
"AS042","Kofarnihon Aquifer","TJK","UZB","IU0","BL"
"AS043","Karatag / North-Surhandarya Aquifer","TJK","UZB","DA","DA"
"AS044","Zeravshan Aquifer","TJK","UZB","DA","DA"
"AS046","Havost","TJK","UZB","BL","BL"
"AS047","Pretashkent Aquifer","KAZ","UZB","DA","DA"
"AS048","Zafarobod Aquifer","TJK","UZB","BL","BL"
"AS049","Syr-Darya 3","TJK","UZB","BL","BL"
"AS050","Kokaral","TJK","UZB","BL","BL"
"AS051","Dalverzin Aquifer","TJK","UZB","DA","DA"
"AS053","Sulyukta-Batken-Nau-Isfara Aquifer","KGZ","TJK","BL","BL"
"AS053","Sulyukta-Batken-Nau-Isfara Aquifer","TJK","UZB","DA","DA"
"AS054","South Talas Aquifer","KAZ","KGZ","BL","BL"
"AS055","North Talas Aquifer","KAZ","KGZ","BL","DA"
"AS057","Shorsu Aquifer","TJK","UZB","IU1","IU1"
"AS058","Sokh Aquifer","KGZ","UZB","UB","BL"
"AS059","Syr-Darya 2","TJK","UZB","IU1","IU1"
"AS060","Almos-Vorzik Aquifer","KGZ","UZB","IU1","IU1"
"AS061","Kasansay Aquifer","KGZ","UZB","IU1","IU1"
"AS062","Nanay","KGZ","UZB","UB","BL"
"AS063","Iskovat-Pishkaran Aquifer","KGZ","UZB","UB","BL"
"AS064","Naryn Aquifer","KGZ","UZB","IU1","BL"
"AS065","Yarmazar","KGZ","UZB","UB","BL"
"AS066","Chimion-Aval","KGZ","UZB","UB","BL"
"AS068","Karaungur","KGZ","UZB","UB","BL"
"AS069","Osh-Aravan Aquifer","KGZ","UZB","BL","BL"
"AS070","Vakhsh Aquifer","AFG","TJK","IU1","IU1"
"AS071","Chu Basin","KAZ","KGZ","DA","DA"
"AS072","Ile River Valley","CHN","KAZ","DA","DA"
"AS074","Tacheng Basin / Alakol","CHN","KAZ","DA","DA"
"AS076","Zaisan Artesian Basin / Ertix River Plain","CHN","KAZ","DA","DA"
"AS077","Yenisei Upstream","MNG","RUS","UB","DA"
"AS081","Nu River Valley Aquifer","CHN","MMR","UB","UB"
"AS082","Salween River Aquifer","MMR","THA","DA","DA"
"AS083","Upriver of Zuo River","CHN","VNM","UB","UB"
"AS086","Upper Yalu River Basin","CHN","PRK","DA","DA"
"AS087","Middle Heilongjiang - Amur River Basin","CHN","RUS","DA","DA"
"AS088","Merauke - Ketu Basin Aquifer","IDN","PNG","UB","UB"
"AS089","Cambodia Mekong River Delta Aquifer","KHM","VNM","BL","DA"
