"","Aquifer","Country","area_km2","nWells","beta_AveDepletion","se_AveDepletion","p_AveDepletion","beta_distTrend","se_distTrend","p_distTrend","lat_c","lon_c","urbkHaKm2","CropSuitIndex","probBorderRiver","RDS_mainDist","SoitTerrainSuit","prec_mm","pet_mm","dist_to_LB_km","depletion_m_yr","TransboundaryAquifer"
"59","Avra Valley","USA",5685.1104281504,26,-230.137281968304,152.245234837749,0.143168654812587,-8.42952886741377,3.59872781144203,0.0277885210397457,32.0981891184368,-111.300674974171,0.000518740656119302,3759.47895570626,0,13.0302648355351,2.63296985026293,325.734431274192,1507.53547951285,89.7518818716996,-0.00531091,TRUE
"60","Ayamonte-Huelva Coastal Aquifer","ESP",264.211269200356,7,-516.332913166677,110.46699460119,0.00341685389456589,14.7978186127126,14.4032732233592,0.35134651612681,37.254377022892,-7.29157963150969,0.00679674557749787,6316.3985403009,0,0,2.8062243550441,479.132777818559,1123.88403795086,14.4093019090552,-0.375,FALSE
"61","Azapa Aquifer","CHL",161.242406208369,3,199.207265317891,239.155944773532,0.492495899526549,22.1976183718301,189.544151344774,NA,-18.5234681909958,-70.1786492281308,0.0185379831075718,-0.0305770292655991,0,0,3.68519924535248,247.102874881376,1098.32525053824,23.6855444119518,0.23025,FALSE
"62","Azghand Basin","IRN",724.238608504531,7,1002.86330805488,79.0117693419838,1.46655365465223e-05,-14.5888766757033,2.49088213819336,0.00205616017132252,35.1836169890462,58.8462718511227,0,4140.38807736465,0,3.65489818917552,2.77143204097854,230.387625671955,1402.11687634983,229.105827628841,0.965,FALSE
"63","Azna-Aligudarz Basin","IRN",1090.73626174965,37,500.856172880285,133.332753325889,0.000609674163476579,-15.6168075774553,8.61175550308806,0.0783482843540464,33.5476938955097,49.5638966821824,0.00188299637658024,4401.28384121448,0,52.2291955722067,4.08984247658981,344.656947190622,1146.92405509382,279.527642801709,0.165,FALSE
"64","Bacon Terrace","USA",7005.94037729335,12,-56.7204745869253,54.8083940011986,0.322937707910526,1.83522476021318,2.32853543619234,0.448891031857708,31.4613681046558,-82.506886132969,0.000683659861706491,6965.28486797723,0,1.38846189655363,2.98899873846611,1229.62868284406,1110.87137954688,1419.77517717672,-0.04998687,FALSE
"65","Bad-Khaledabad Basin","IRN",663.376610354761,14,795.097722759431,174.345169741642,0.000534823482723545,64.7041735305725,17.0804070889329,0.00258466091247313,33.6565115731199,52.030460759273,0.00114294859182809,3984.77783015394,0,6.83120458481533,3.47175370111218,106.598992993068,1552.82937618061,524.849446635838,0.66300366,FALSE
"66","Baghan Basin","IRN",31.2895864983187,5,439.734845381349,79.4967870086178,0.00521945627647091,32.9526743476684,120.580444491919,0.802368832267393,28.1897218783381,51.8966288085107,0,5556,0,80.7845506138464,1.93151441511101,236.400078356926,1794.34422039906,388.324128189626,0.50291667,FALSE
"67","Baghmalek Plain","IRN",80.8615658259821,10,985.036902649599,234.204885692713,0.00228671342893383,95.5487887214962,109.567570546307,0.408587814707478,31.5492761410275,49.9030147767542,0.0108395433076772,4512.24770074648,0,6.82308395130408,3.16037035509548,359.462514738586,1684.47228054455,220.358533713171,1.23402778,FALSE
"68","Bahabad Plain","IRN",496.8679182374,15,603.688322048589,54.6893419611302,2.7113509742609e-08,9.8454353004534,8.91240426480957,0.289321443158588,31.94305439172,56.0047279443078,0.00129874711680491,-0.317537445611127,0,2.51364232019651,3.9969923203914,98.5635692148816,1547.53481110658,532.986394130051,0.55358333,FALSE
"69","Bahadoran Basin","IRN",1627.97044822796,28,646.63177439228,107.66757755696,2.08347067311e-06,12.3492892828204,10.1442743358095,0.234399347001762,31.2418775558094,55.0108212259263,0,2553.08737660544,0,15.783069167095,4.08121073108772,90.489181978107,1501.11589341619,648.823382112313,0.56704167,FALSE
"70","Bajestan Basin","IRN",1073.93857400311,19,319.942829441077,69.3230104928682,0.000214923742913176,6.74144493015294,4.38660798998708,0.142739473782319,34.6638374803338,58.1188666546186,0.00114549276773591,4384.72228333688,0,18.8663164633218,4.03871505348948,134.655729280194,1532.58039617377,277.951805724546,0.34,FALSE
"71","Bajo Guadalhorce Valley Alluvial Aquifer","ESP",260.749986724253,4,-305.829860346212,496.8928278102,0.581777261765291,1164.76233251165,1579.61736967168,0.537670886188798,36.6867202985197,-4.57067309101582,0.0367520292504482,7275.3561363609,0,0,2.95031466974718,567.026327901005,1122.19239699497,113.019985680215,0.0405625,FALSE
"72","Bajo Rio Bravo","USA",6668.38584167703,4,-63.6824080832837,37.1800381552725,0.18526535242122,9.71464985305709,25.1565070771105,0.736581747874036,26.811839491427,-99.2983435260823,0.000571257722450994,6263.59614216505,1,11.746840168697,3.00757805840006,490.882450086371,1465.08808254808,15.237072931771,-0.05910044,TRUE
"73","Baladeh Basin","IRN",47.5130757062307,7,2658.93907766477,366.670149056343,0.000349432268660469,-418.191449161391,135.246111725972,0.0270955001917016,29.368541702492,51.9372752795903,0,6413.57758930497,1,20.2943273033945,5.94063106447208,239.433669345613,1705.11021521185,395.626544547081,2.68,FALSE
"74","Balcones Fault Zone","USA",6671.47721024439,160,356.180801147355,65.7149516869728,2.17173568523872e-07,-3.99862931516132,0.936491948078029,3.36468732331268e-05,29.4816814591981,-99.0094928620942,0.01525042544233,4580.7791619988,1,3.12899593660155,3.68434612152028,700.242608741689,1351.40106927616,190.909883145069,0.14201284,FALSE
